name	theme	type	cost	est_cust	maintenance_time	workers updated_at
Starfish Chocolates	aquarium	shop	77000	116	34	2	2022-05-15T15:12:59.152Z
Coral Toboggan	aquarium	flat	516000	855	29	4	2022-05-15T15:12:59.152Z
Intense Thriller	extreme	coaster	1544000	1611	14	3	2022-05-15T15:12:59.152Z
Plank Shaker	pirate	flat	1408000	1703	13	5	2022-05-15T15:12:59.152Z
Treasure Hats	pirate	shop	63000	113	36	3	2022-05-15T15:12:59.152Z
Submerged Souvenirs	aquarium	shop	91000	136	27	2	2022-05-15T15:12:59.152Z
Satellite Swing	space	kids	127000	253	37	2	2022-05-15T15:12:59.152Z
Avast Goliath	pirate	coaster	2868000	1916	20	4	2022-05-15T15:12:59.152Z
Elephant Stomach-turner	zoo	flat	1754000	1513	22	2	2022-05-15T15:12:59.152Z
Black Hole Fury	space	flat	1643000	1509	8	4	2022-05-15T15:12:59.152Z
Screaming Rush	spooky	coaster	2801000	2872	15	2	2022-05-15T15:12:59.152Z
Gravity Flight	space	kids	140000	398	35	5	2022-05-15T15:12:59.152Z
Utter Fried Potatoes	extreme	food	139000	125	16	3	2022-05-15T15:12:59.152Z
Radical Souvenirs	extreme	shop	103000	113	23	2	2022-05-15T15:12:59.152Z
Phantasmic Pets	spooky	shop	75000	100	34	2	2022-05-15T15:12:59.152Z
Maniac Rocket	extreme	coaster	2524000	2852	29	5	2022-05-15T15:12:59.152Z
Astronaut Teacups	space	kids	123000	345	34	3	2022-05-15T15:12:59.152Z
Scary Dodgems	spooky	kids	144000	397	36	4	2022-05-15T15:12:59.152Z
Hippo Mini-coaster	zoo	coaster	1207000	1732	30	2	2022-05-15T15:12:59.152Z
Black Flag Shock	pirate	flat	1020000	1362	18	5	2022-05-15T15:12:59.152Z
Anchor Vengeance	pirate	coaster	2190000	2504	29	2	2022-05-15T15:12:59.152Z
Marine Hamburgers	aquarium	food	133000	140	14	3	2022-05-15T15:12:59.152Z
Waterlogged Ramen	aquarium	food	129000	103	22	4	2022-05-15T15:12:59.152Z
Avast Hamburgers	pirate	food	137000	156	30	4	2022-05-15T15:12:59.152Z
Panda Drop	zoo	flat	1959000	1740	35	4	2022-05-15T15:12:59.152Z
Severe Triple Flip	extreme	flat	622000	1216	11	4	2022-05-15T15:12:59.152Z
Woodland Rotator	zoo	kids	72000	154	20	2	2022-05-15T15:12:59.152Z
Dark Drop	spooky	flat	617000	773	22	4	2022-05-15T15:12:59.152Z
Avast Rush	pirate	coaster	3794000	3045	16	2	2022-05-15T15:12:59.152Z
Shooting Star Pets	space	shop	74000	60	28	5	2022-05-15T15:12:59.152Z
Rocketeer Mini-coaster	space	coaster	2426000	2767	20	5	2022-05-15T15:12:59.152Z
Planetfall Massage	space	shop	116000	99	27	4	2022-05-15T15:12:59.152Z
Marine Cars	aquarium	kids	65000	335	23	3	2022-05-15T15:12:59.152Z
Saltwater Turbulence	aquarium	flat	1840000	1325	23	3	2022-05-15T15:12:59.152Z
Utter Portraits	extreme	shop	65000	54	17	3	2022-05-15T15:12:59.152Z
Aquatic Mini-coaster	aquarium	coaster	1810000	1337	30	5	2022-05-15T15:12:59.152Z
Skeleton Glider	spooky	coaster	3403000	2143	34	3	2022-05-15T15:12:59.152Z
Reptile Crepes	zoo	food	90000	87	6	5	2022-05-15T15:12:59.152Z
Treasure House of Mirrors	pirate	kids	95000	84	30	4	2022-05-15T15:12:59.152Z
Capybara Drop	zoo	flat	1948000	1513	25	2	2022-05-15T15:12:59.152Z
Zombie Fried Potatoes	spooky	food	97000	67	25	2	2022-05-15T15:12:59.152Z
Hyper Intimidator	extreme	coaster	1575000	1142	10	3	2022-05-15T15:12:59.152Z
Cosmonaut Speedway	space	kids	108000	466	36	3	2022-05-15T15:12:59.152Z
Ghastly Pets	spooky	shop	111000	132	39	4	2022-05-15T15:12:59.152Z
Void House of Mirrors	space	kids	103000	368	24	3	2022-05-15T15:12:59.152Z
Woodland Ramen	zoo	food	94000	86	5	3	2022-05-15T15:12:59.152Z
Irrational Rotator	extreme	kids	101000	430	21	2	2022-05-15T15:12:59.152Z
Spooky Hot Dogs	spooky	food	98000	143	10	4	2022-05-15T15:12:59.152Z
Utter Whiplash	extreme	coaster	1527000	1412	8	3	2022-05-15T15:12:59.152Z
Nautical Umbrellas	pirate	shop	79000	112	19	3	2022-05-15T15:12:59.152Z
Scary Walkabout	spooky	kids	66000	242	18	4	2022-05-15T15:12:59.152Z
Scary Hamburgers	spooky	food	84000	50	31	2	2022-05-15T15:12:59.152Z
Pirate Toboggan	pirate	flat	1226000	892	13	5	2022-05-15T15:12:59.152Z
Coral Sushi	aquarium	food	114000	151	10	2	2022-05-15T15:12:59.152Z
Intense Flight	extreme	kids	75000	464	39	4	2022-05-15T15:12:59.152Z
Creepy Teacups	spooky	kids	116000	211	23	2	2022-05-15T15:12:59.152Z
Hatchery Acupuncture	aquarium	shop	104000	67	33	4	2022-05-15T15:12:59.152Z
Dolphin Gyoza	aquarium	food	99000	111	27	2	2022-05-15T15:12:59.152Z
Jellyfish Pets	aquarium	shop	106000	152	35	3	2022-05-15T15:12:59.152Z
Monkey Minecart	zoo	coaster	2056000	2371	38	4	2022-05-15T15:12:59.152Z
Madness Triple Flip	extreme	flat	577000	1116	6	3	2022-05-15T15:12:59.152Z
Plank Triple Flip	pirate	flat	692000	941	34	3	2022-05-15T15:12:59.152Z
Coral Force	aquarium	coaster	2515000	2440	14	2	2022-05-15T15:12:59.152Z
Starfish Mini-coaster	aquarium	coaster	3248000	3578	28	3	2022-05-15T15:12:59.152Z
Haunted Pets	spooky	shop	47000	103	27	2	2022-05-15T15:12:59.152Z
Hatchery Massage	aquarium	shop	53000	122	36	5	2022-05-15T15:12:59.152Z
Creepy Hats	spooky	shop	52000	119	28	4	2022-05-15T15:12:59.152Z
Cosmonaut Cars	space	kids	85000	234	31	4	2022-05-15T15:12:59.152Z
Aquatic Bungie	aquarium	flat	573000	1013	27	4	2022-05-15T15:12:59.152Z
Extreme Spinner	extreme	flat	1221000	978	15	2	2022-05-15T15:12:59.152Z
Skull and Bones Acupuncture	pirate	shop	39000	94	6	3	2022-05-15T15:12:59.152Z
Ghastly Thriller	spooky	coaster	1927000	2933	22	5	2022-05-15T15:12:59.152Z
Black Hole Shaker	space	flat	758000	443	22	3	2022-05-15T15:12:59.152Z
Zombie Toboggan	spooky	flat	1742000	1844	15	3	2022-05-15T15:12:59.152Z
Unreasonable Minecart	extreme	coaster	2284000	2399	39	4	2022-05-15T15:12:59.152Z
Panda Chocolates	zoo	shop	110000	88	39	2	2022-05-15T15:12:59.152Z
Eclipse Force	space	coaster	2887000	2993	6	2	2022-05-15T15:12:59.152Z
Carnivore Fusion	zoo	coaster	2911000	2573	35	2	2022-05-15T15:12:59.152Z
Madness Flight	extreme	kids	138000	434	29	2	2022-05-15T15:12:59.152Z
Moon Mountain	space	coaster	3218000	3166	13	5	2022-05-15T15:12:59.152Z
Hatchery Flight	aquarium	kids	65000	312	17	2	2022-05-15T15:12:59.152Z
Cemetery Chocolates	spooky	shop	114000	118	12	2	2022-05-15T15:12:59.152Z
Cemetery Lightspeed	spooky	coaster	1733000	2733	20	2	2022-05-15T15:12:59.152Z
Pirate Hamburgers	pirate	food	98000	104	18	5	2022-05-15T15:12:59.152Z
Nautical Triple Flip	pirate	flat	1151000	1571	19	3	2022-05-15T15:12:59.152Z
Anchor Rotator	pirate	kids	98000	95	13	3	2022-05-15T15:12:59.152Z
Submerged Coaster	aquarium	coaster	3316000	3048	40	5	2022-05-15T15:12:59.152Z
Waterlogged Windjammer	aquarium	kids	91000	490	29	2	2022-05-15T15:12:59.152Z
Treasure Swing	pirate	kids	131000	107	24	4	2022-05-15T15:12:59.152Z
Wetland Hats	aquarium	shop	89000	92	9	3	2022-05-15T15:12:59.152Z
Starfish Bumpers	aquarium	kids	131000	346	29	3	2022-05-15T15:12:59.152Z
Dolphin Balloons	aquarium	shop	60000	121	37	4	2022-05-15T15:12:59.152Z
Carnivore Portraits	zoo	shop	40000	48	5	3	2022-05-15T15:12:59.152Z
Cosmonaut Hats	space	shop	65000	54	34	3	2022-05-15T15:12:59.152Z
Reptile Coaster	zoo	coaster	2261000	1326	17	3	2022-05-15T15:12:59.152Z
Haunted Fury	spooky	flat	1614000	1570	20	2	2022-05-15T15:12:59.152Z
Elephant Udon	zoo	food	78000	122	8	2	2022-05-15T15:12:59.152Z
Intense Pizza	extreme	food	126000	97	28	2	2022-05-15T15:12:59.152Z
Arrrr Ramen	pirate	food	63000	49	16	5	2022-05-15T15:12:59.152Z
Woodland Thriller	zoo	coaster	615000	1904	9	2	2022-05-15T15:12:59.152Z
Skull and Bones Portraits	pirate	shop	121000	95	36	2	2022-05-15T15:12:59.152Z
Starfish Teacups	aquarium	kids	81000	442	10	5	2022-05-15T15:12:59.152Z
Inordinate Stationery	extreme	shop	59000	102	34	4	2022-05-15T15:12:59.152Z
Utter Glider	extreme	coaster	2908000	3361	18	4	2022-05-15T15:12:59.152Z
Dolphin Hot Dogs	aquarium	food	135000	88	33	3	2022-05-15T15:12:59.152Z
Pachyderm Speedway	zoo	kids	111000	393	24	3	2022-05-15T15:12:59.152Z
Moon Udon	space	food	127000	123	25	3	2022-05-15T15:12:59.152Z
Sailor Rotator	pirate	kids	117000	173	21	5	2022-05-15T15:12:59.152Z
Algae Force	aquarium	coaster	1968000	1255	24	2	2022-05-15T15:12:59.152Z
Spooky Sushi	spooky	food	127000	88	20	2	2022-05-15T15:12:59.152Z
Plank Sushi	pirate	food	114000	61	36	4	2022-05-15T15:12:59.152Z
Saltwater Windjammer	aquarium	kids	87000	484	6	5	2022-05-15T15:12:59.152Z
Marine Force	aquarium	coaster	2308000	3057	28	3	2022-05-15T15:12:59.152Z
Arrrr Portraits	pirate	shop	109000	107	20	4	2022-05-15T15:12:59.152Z
Cemetery Triple Flip	spooky	flat	1197000	1242	16	2	2022-05-15T15:12:59.152Z
Rocketeer House of Mirrors	space	kids	84000	105	18	2	2022-05-15T15:12:59.152Z
Satellite Stomach-turner	space	flat	1814000	1052	13	3	2022-05-15T15:12:59.152Z
Skeleton Portraits	spooky	shop	77000	43	27	2	2022-05-15T15:12:59.152Z
Extreme Rush	extreme	coaster	3138000	3263	14	5	2022-05-15T15:12:59.152Z
Moon Rocket	space	coaster	2143000	1780	39	4	2022-05-15T15:12:59.152Z
Harrowing Balloons	extreme	shop	85000	50	33	4	2022-05-15T15:12:59.152Z
Capybara Bumpers	zoo	kids	141000	400	13	3	2022-05-15T15:12:59.152Z
Extreme Curry	extreme	food	96000	134	14	5	2022-05-15T15:12:59.152Z
Nautical Speedway	pirate	kids	138000	302	38	4	2022-05-15T15:12:59.152Z
Dark Slide	spooky	kids	79000	492	18	2	2022-05-15T15:12:59.152Z
Monkey Gyoza	zoo	food	141000	81	25	5	2022-05-15T15:12:59.152Z
Black Flag Umbrellas	pirate	shop	41000	73	15	5	2022-05-15T15:12:59.152Z
Starfish Intimidator	aquarium	coaster	788000	613	38	5	2022-05-15T15:12:59.152Z
Panda Portraits	zoo	shop	37000	30	6	3	2022-05-15T15:12:59.152Z
Monkey Stomach-turner	zoo	flat	1964000	1295	40	2	2022-05-15T15:12:59.152Z
Coral Curry	aquarium	food	114000	68	13	3	2022-05-15T15:12:59.152Z
Cosmonaut Fusion	space	coaster	1068000	2290	34	5	2022-05-15T15:12:59.152Z
Galleon Udon	pirate	food	140000	166	20	5	2022-05-15T15:12:59.152Z
Arrrr Spinner	pirate	flat	1136000	1071	25	2	2022-05-15T15:12:59.152Z
Cemetery Ramen	spooky	food	58000	60	25	2	2022-05-15T15:12:59.152Z
Severe Thriller	extreme	coaster	2392000	1575	25	3	2022-05-15T15:12:59.152Z
Ultimate Goliath	extreme	coaster	3862000	3082	21	4	2022-05-15T15:12:59.152Z
Starfish House of Mirrors	aquarium	kids	147000	490	18	4	2022-05-15T15:12:59.152Z
Cemetery Swing	spooky	kids	91000	389	28	2	2022-05-15T15:12:59.152Z
Inordinate Speedway	extreme	kids	77000	44	40	4	2022-05-15T15:12:59.152Z
Monkey Walkabout	zoo	kids	61000	93	31	3	2022-05-15T15:12:59.152Z
Galleon Hamburgers	pirate	food	144000	76	29	3	2022-05-15T15:12:59.152Z
Hippo Glider	zoo	coaster	3100000	2243	32	3	2022-05-15T15:12:59.152Z
Void Mountain	space	coaster	1355000	1869	32	5	2022-05-15T15:12:59.152Z
Nautical Massage	pirate	shop	72000	109	16	3	2022-05-15T15:12:59.152Z
Solstace Rush	space	coaster	1211000	1053	36	5	2022-05-15T15:12:59.152Z
Black Flag Zipper	pirate	flat	1676000	1553	18	3	2022-05-15T15:12:59.152Z
Aquatic Nauseator	aquarium	flat	573000	854	22	5	2022-05-15T15:12:59.152Z
Moon Mini-coaster	space	coaster	1801000	2361	8	3	2022-05-15T15:12:59.152Z
Cemetery Pets	spooky	shop	48000	39	30	5	2022-05-15T15:12:59.152Z
Reptile Umbrellas	zoo	shop	91000	131	10	4	2022-05-15T15:12:59.152Z
Black Flag Steak	pirate	food	100000	94	12	2	2022-05-15T15:12:59.152Z
Nautical Flight	pirate	kids	105000	552	6	2	2022-05-15T15:12:59.152Z
Hippo Rush	zoo	coaster	1842000	1458	10	5	2022-05-15T15:12:59.152Z
Treasure Fury	pirate	flat	1778000	1813	25	5	2022-05-15T15:12:59.152Z
Zombie Candy	spooky	shop	115000	80	19	2	2022-05-15T15:12:59.152Z
Black Flag Bumpers	pirate	kids	110000	540	23	4	2022-05-15T15:12:59.152Z
Avast Massage	pirate	shop	112000	75	7	4	2022-05-15T15:12:59.152Z
Inordinate Screamer	extreme	coaster	2343000	2689	29	2	2022-05-15T15:12:59.152Z
Woodland Mountain	zoo	coaster	1314000	984	34	4	2022-05-15T15:12:59.152Z
Madness Stomach-turner	extreme	flat	1346000	1633	5	4	2022-05-15T15:12:59.152Z
Panda Toboggan	zoo	flat	1045000	1175	13	5	2022-05-15T15:12:59.152Z
Black Flag Drop	pirate	flat	909000	786	39	3	2022-05-15T15:12:59.152Z
Mutiny Triple Flip	pirate	flat	582000	961	8	5	2022-05-15T15:12:59.152Z
Hippo Triple Flip	zoo	flat	721000	1124	16	5	2022-05-15T15:12:59.152Z
Avast Chocolates	pirate	shop	87000	113	28	4	2022-05-15T15:12:59.152Z
Gangplank Cars	pirate	kids	98000	235	12	4	2022-05-15T15:12:59.152Z
Anchor -Go-Round	pirate	kids	73000	370	40	5	2022-05-15T15:12:59.152Z
Harrowing Triple Flip	extreme	flat	879000	1433	20	5	2022-05-15T15:12:59.152Z
Radical Crepes	extreme	food	70000	53	21	5	2022-05-15T15:12:59.152Z
Starfish Umbrellas	aquarium	shop	110000	102	27	2	2022-05-15T15:12:59.152Z
Carnivore Hamburgers	zoo	food	116000	152	7	5	2022-05-15T15:12:59.152Z
Intense Nauseator	extreme	flat	745000	606	33	2	2022-05-15T15:12:59.152Z
Inordinate Sushi	extreme	food	140000	121	29	5	2022-05-15T15:12:59.152Z
Jellyfish Fried Chicken	aquarium	food	132000	103	11	3	2022-05-15T15:12:59.152Z
Irrational Windjammer	extreme	kids	141000	284	17	2	2022-05-15T15:12:59.152Z
Orbit Balloons	space	shop	94000	96	19	4	2022-05-15T15:12:59.152Z
Asteroid Umbrellas	space	shop	51000	99	22	2	2022-05-15T15:12:59.152Z
Arrrr Zipper	pirate	flat	1604000	1128	12	2	2022-05-15T15:12:59.152Z
Dark Zipper	spooky	flat	545000	512	13	3	2022-05-15T15:12:59.152Z
Hippo Hats	zoo	shop	70000	131	29	4	2022-05-15T15:12:59.152Z
Dark Lightspeed	spooky	coaster	1197000	1981	13	4	2022-05-15T15:12:59.152Z
Hyper Curry	extreme	food	72000	64	16	5	2022-05-15T15:12:59.152Z
Inordinate Chocolates	extreme	shop	121000	155	22	4	2022-05-15T15:12:59.152Z
Orbit Slide	space	kids	140000	499	40	5	2022-05-15T15:12:59.152Z
Irrational Balloons	extreme	shop	36000	42	8	3	2022-05-15T15:12:59.152Z
Capybara Screamer	zoo	coaster	3150000	1819	15	4	2022-05-15T15:12:59.152Z
Wetland Massage	aquarium	shop	120000	107	15	3	2022-05-15T15:12:59.152Z
Arrrr Omelettes	pirate	food	85000	102	32	4	2022-05-15T15:12:59.152Z
Arrrr Candy	pirate	shop	110000	121	12	2	2022-05-15T15:12:59.152Z
Extreme Chaser	extreme	coaster	1545000	1046	6	2	2022-05-15T15:12:59.152Z
Algae Whirlwind	aquarium	flat	1887000	1413	28	2	2022-05-15T15:12:59.152Z
Orbit Boat	space	kids	108000	158	39	2	2022-05-15T15:12:59.152Z
Harrowing Gyoza	extreme	food	72000	94	6	2	2022-05-15T15:12:59.152Z
Screaming Glider	spooky	coaster	3859000	3803	8	3	2022-05-15T15:12:59.152Z
Ghoulish Shaker	spooky	flat	1397000	765	29	3	2022-05-15T15:12:59.152Z
Marine Massage	aquarium	shop	46000	45	10	4	2022-05-15T15:12:59.152Z
Excessive Souvenirs	extreme	shop	103000	123	40	4	2022-05-15T15:12:59.152Z
Arrrr Fury	pirate	flat	1584000	1141	37	2	2022-05-15T15:12:59.152Z
Coral Souvenirs	aquarium	shop	91000	61	14	3	2022-05-15T15:12:59.152Z
Harrowing Force	extreme	coaster	2393000	2389	39	4	2022-05-15T15:12:59.152Z
Galleon Fury	pirate	flat	954000	1000	36	2	2022-05-15T15:12:59.152Z
Sailor Cars	pirate	kids	78000	253	24	4	2022-05-15T15:12:59.152Z
Ghastly Bungie	spooky	flat	1656000	1164	20	2	2022-05-15T15:12:59.152Z
Anchor Glider	pirate	coaster	2513000	1980	20	3	2022-05-15T15:12:59.152Z
Algae Teacups	aquarium	kids	68000	87	35	5	2022-05-15T15:12:59.152Z
Galleon Drop	pirate	flat	799000	1394	19	4	2022-05-15T15:12:59.152Z
Zombie Pizza	spooky	food	105000	120	7	5	2022-05-15T15:12:59.152Z
Monkey Coaster	zoo	coaster	1065000	1766	20	5	2022-05-15T15:12:59.152Z
Cosmonaut Pizza	space	food	57000	66	26	2	2022-05-15T15:12:59.152Z
Moon Thriller	space	coaster	1496000	2098	15	5	2022-05-15T15:12:59.152Z
Pirate Rotator	pirate	kids	93000	492	7	3	2022-05-15T15:12:59.152Z
Nightmare Speedway	spooky	kids	77000	332	35	2	2022-05-15T15:12:59.152Z
Wetland Mountain	aquarium	coaster	2131000	1451	5	5	2022-05-15T15:12:59.152Z
Treasure Rotator	pirate	kids	116000	393	31	2	2022-05-15T15:12:59.152Z
Antarctic Thriller	zoo	coaster	2105000	1967	28	2	2022-05-15T15:12:59.152Z
Rocketeer Triple Flip	space	flat	704000	447	31	5	2022-05-15T15:12:59.152Z
Sailor Slingshot	pirate	flat	1101000	745	16	2	2022-05-15T15:12:59.152Z
Elephant Plunge	zoo	coaster	3893000	3372	24	5	2022-05-15T15:12:59.152Z
Antarctic Hats	zoo	shop	112000	91	21	5	2022-05-15T15:12:59.152Z
Starfish Violence	aquarium	flat	1985000	1985	28	2	2022-05-15T15:12:59.152Z
Capybara Portraits	zoo	shop	77000	72	15	4	2022-05-15T15:12:59.152Z
Skull and Bones Triple Flip	pirate	flat	579000	383	38	5	2022-05-15T15:12:59.152Z
Waterlogged Turbulence	aquarium	flat	1837000	1694	13	3	2022-05-15T15:12:59.152Z
Gravity Goliath	space	coaster	1731000	2666	36	5	2022-05-15T15:12:59.152Z
Forest -Go-Round	zoo	kids	136000	386	12	5	2022-05-15T15:12:59.152Z
Monkey Goliath	zoo	coaster	3355000	1961	35	2	2022-05-15T15:12:59.152Z
Extreme -Go-Round	extreme	kids	125000	252	40	5	2022-05-15T15:12:59.152Z
Arrrr Mont Blanc	pirate	food	118000	149	30	2	2022-05-15T15:12:59.152Z
Hippo Gyoza	zoo	food	54000	37	38	5	2022-05-15T15:12:59.152Z
Eclipse Mountain	space	coaster	3856000	3602	39	4	2022-05-15T15:12:59.152Z
Solstace Portraits	space	shop	91000	131	32	5	2022-05-15T15:12:59.152Z
Reptile Walkabout	zoo	kids	137000	427	34	3	2022-05-15T15:12:59.152Z
Aquatic Glider	aquarium	coaster	2196000	2730	9	4	2022-05-15T15:12:59.152Z
Anchor Fried Chicken	pirate	food	85000	92	20	3	2022-05-15T15:12:59.152Z
Jungle Mont Blanc	zoo	food	122000	119	15	5	2022-05-15T15:12:59.152Z
Coral Bumpers	aquarium	kids	101000	115	22	3	2022-05-15T15:12:59.152Z
Astronaut Rotator	space	kids	144000	402	21	3	2022-05-15T15:12:59.152Z
Irrational Zipper	extreme	flat	1927000	1781	16	4	2022-05-15T15:12:59.152Z
Galleon Pets	pirate	shop	107000	151	24	3	2022-05-15T15:12:59.152Z
Phantasmic Gyoza	spooky	food	149000	124	28	3	2022-05-15T15:12:59.152Z
Inordinate Ramen	extreme	food	137000	112	33	3	2022-05-15T15:12:59.152Z
Pirate Lightspeed	pirate	coaster	2676000	2481	33	3	2022-05-15T15:12:59.152Z
Treasure Mont Blanc	pirate	food	108000	60	32	2	2022-05-15T15:12:59.152Z
Utter Fried Chicken	extreme	food	145000	85	17	3	2022-05-15T15:12:59.152Z
Scary Vengeance	spooky	coaster	2126000	1560	16	5	2022-05-15T15:12:59.152Z
Phantasmic Fury	spooky	flat	1088000	1110	5	3	2022-05-15T15:12:59.152Z
Ghastly Balloons	spooky	shop	124000	126	19	2	2022-05-15T15:12:59.152Z
Spooky Mont Blanc	spooky	food	98000	50	33	5	2022-05-15T15:12:59.152Z
Jellyfish Ramen	aquarium	food	83000	113	24	5	2022-05-15T15:12:59.152Z
Irrational Whiplash	extreme	coaster	1787000	1736	33	4	2022-05-15T15:12:59.152Z
Ultimate Pins	extreme	shop	36000	117	14	3	2022-05-15T15:12:59.152Z
Haunted Bumpers	spooky	kids	124000	353	23	3	2022-05-15T15:12:59.152Z
Irrational Turbulence	extreme	flat	773000	681	20	5	2022-05-15T15:12:59.152Z
Untamed Mountain	zoo	coaster	1166000	1636	23	4	2022-05-15T15:12:59.152Z
Nightmare Sushi	spooky	food	97000	131	8	2	2022-05-15T15:12:59.152Z
Wetland Traveler	aquarium	coaster	1379000	1856	27	3	2022-05-15T15:12:59.152Z
Panda Pins	zoo	shop	39000	100	6	3	2022-05-15T15:12:59.152Z
Exosphere Goliath	space	coaster	1293000	1472	11	3	2022-05-15T15:12:59.152Z
Irrational Force	extreme	coaster	3488000	2308	23	3	2022-05-15T15:12:59.152Z
Nightmare Mini-coaster	spooky	coaster	2215000	2143	28	2	2022-05-15T15:12:59.152Z
Coral Turbulence	aquarium	flat	1903000	1590	37	5	2022-05-15T15:12:59.152Z
Solstace Whiplash	space	coaster	868000	2081	38	2	2022-05-15T15:12:59.152Z
Wildlife Slide	zoo	kids	141000	258	7	4	2022-05-15T15:12:59.152Z
Screaming Swing	spooky	kids	120000	95	30	5	2022-05-15T15:12:59.152Z
Scary Slingshot	spooky	flat	1640000	1219	11	5	2022-05-15T15:12:59.152Z
Coral Chaser	aquarium	coaster	3604000	2942	6	3	2022-05-15T15:12:59.152Z
Ghoulish Violence	spooky	flat	1161000	1127	14	2	2022-05-15T15:12:59.152Z
Orbit Rush	space	coaster	2594000	2387	27	3	2022-05-15T15:12:59.152Z
Comet Plunge	space	coaster	2529000	1430	29	2	2022-05-15T15:12:59.152Z
Skeleton Walkabout	spooky	kids	68000	215	18	2	2022-05-15T15:12:59.152Z
Capybara Shaker	zoo	flat	677000	704	12	2	2022-05-15T15:12:59.152Z
Treasure Bungie	pirate	flat	1098000	1502	20	2	2022-05-15T15:12:59.152Z
Eclipse Screamer	space	coaster	1343000	866	11	2	2022-05-15T15:12:59.152Z
Algae Boat	aquarium	kids	107000	348	29	5	2022-05-15T15:12:59.152Z
Hippo Bungie	zoo	flat	858000	1252	9	5	2022-05-15T15:12:59.152Z
Skeleton Turbulence	spooky	flat	1016000	1130	26	5	2022-05-15T15:12:59.152Z
Phantasmic Windjammer	spooky	kids	138000	409	23	5	2022-05-15T15:12:59.152Z
Irrational Portraits	extreme	shop	114000	68	23	4	2022-05-15T15:12:59.152Z
Monkey Fried Potatoes	zoo	food	150000	148	19	5	2022-05-15T15:12:59.152Z
Extreme Shaker	extreme	flat	1252000	1034	29	4	2022-05-15T15:12:59.152Z
Mutiny Walkabout	pirate	kids	105000	351	8	3	2022-05-15T15:12:59.152Z
Skull and Bones Whiplash	pirate	coaster	3664000	3663	40	3	2022-05-15T15:12:59.152Z
Unreasonable Umbrellas	extreme	shop	92000	74	16	5	2022-05-15T15:12:59.152Z
Skull and Bones Udon	pirate	food	75000	134	27	2	2022-05-15T15:12:59.152Z
Waterlogged Maritozzo	aquarium	food	101000	140	7	5	2022-05-15T15:12:59.152Z
Anchor Balloons	pirate	shop	69000	63	17	4	2022-05-15T15:12:59.152Z
Madness Violence	extreme	flat	1543000	1017	23	2	2022-05-15T15:12:59.152Z
Saltwater Teacups	aquarium	kids	67000	416	31	3	2022-05-15T15:12:59.152Z
Exosphere Balloons	space	shop	105000	147	10	4	2022-05-15T15:12:59.152Z
Forest Balloons	zoo	shop	91000	89	14	5	2022-05-15T15:12:59.152Z
Nautical Shock	pirate	flat	1973000	1834	13	5	2022-05-15T15:12:59.152Z
Jungle Balloons	zoo	shop	127000	99	8	2	2022-05-15T15:12:59.152Z
Coral Screamer	aquarium	coaster	3876000	2924	18	3	2022-05-15T15:12:59.152Z
Zombie Stomach-turner	spooky	flat	1027000	895	21	3	2022-05-15T15:12:59.152Z
Carnivore Rush	zoo	coaster	920000	1381	26	3	2022-05-15T15:12:59.152Z
Anchor Windjammer	pirate	kids	106000	68	28	5	2022-05-15T15:12:59.152Z
